,data
328,0.0013308525085449219
329,0.0012450218200683594
330,0.0013880729675292969
331,0.0011188983917236328
332,0.0018010139465332031
333,0.0026369094848632812
334,0.0012340545654296875
335,0.0013539791107177734
336,0.001542806625366211
337,0.0014219284057617188
338,0.0015718936920166016
339,0.0019028186798095703
340,0.0010838508605957031
341,0.0019538402557373047
342,0.0019888877868652344
343,0.0012640953063964844
344,0.0016758441925048828
345,0.002701997756958008
346,0.0019159317016601562
347,0.0011241436004638672
348,0.00203704833984375
349,0.0015518665313720703
350,0.0014109611511230469
351,0.001355886459350586
352,0.0013310909271240234
353,0.0016748905181884766
354,0.0014300346374511719
355,0.0012860298156738281
356,0.0010061264038085938
357,0.001302957534790039
358,0.0012099742889404297
359,0.001322031021118164
360,0.0019268989562988281
361,0.0017600059509277344
362,0.0023539066314697266
363,0.0019359588623046875
364,0.001260995864868164
365,0.0021119117736816406
366,0.0020780563354492188
367,0.0018699169158935547
368,0.00133514404296875
369,0.002117156982421875
370,0.001199960708618164
371,0.0014832019805908203
372,0.002362966537475586
373,0.0010418891906738281
374,0.002146005630493164
375,0.0010440349578857422
376,0.002056121826171875
377,0.0014140605926513672
378,0.0015969276428222656
379,0.0014700889587402344
380,0.0023229122161865234
381,0.0013170242309570312
382,0.0023200511932373047
383,0.0019609928131103516
384,0.001043081283569336
385,0.0017600059509277344
386,0.0008947849273681641
387,0.0017991065979003906
388,0.000993967056274414
389,0.0016911029815673828
390,0.0020639896392822266
391,0.0018830299377441406
392,0.0012710094451904297
393,0.001377105712890625
394,0.001725912094116211
395,0.0018551349639892578
396,0.001383066177368164
397,0.0014100074768066406
398,0.002959012985229492
399,0.0015418529510498047
400,0.002508878707885742
401,0.0023920536041259766
402,0.001313924789428711
403,0.002043008804321289
404,0.0026009082794189453
405,0.0017631053924560547
406,0.0018680095672607422
407,0.002476930618286133
408,0.003373861312866211
409,0.0013930797576904297
410,0.0015590190887451172
411,0.002148151397705078
412,0.0026199817657470703
413,0.0013840198516845703
414,0.0016350746154785156
415,0.002043008804321289
416,0.0024399757385253906
417,0.0013849735260009766
418,0.0022978782653808594
419,0.001631021499633789
420,0.002067089080810547
421,0.0024709701538085938
422,0.0014400482177734375
423,0.0017628669738769531
424,0.0020530223846435547
425,0.0016460418701171875
426,0.0018208026885986328
427,0.0018780231475830078
428,0.0019080638885498047
429,0.0016090869903564453
430,0.0014760494232177734
431,0.0013499259948730469
432,0.0021791458129882812
433,0.0031709671020507812
434,0.0020220279693603516
435,0.0012011528015136719
436,0.0024499893188476562
437,0.0015671253204345703
438,0.0015740394592285156
439,0.0021109580993652344
440,0.0020520687103271484
441,0.001741170883178711
442,0.0011630058288574219
443,0.002210855484008789
444,0.002042055130004883
445,0.0019109249114990234
446,0.0014889240264892578
447,0.002296924591064453
448,0.002007007598876953
449,0.0020799636840820312
450,0.002110004425048828
451,0.0017428398132324219
452,0.0024781227111816406
453,0.0023720264434814453
454,0.0041959285736083984
455,0.0021140575408935547
456,0.002418994903564453
457,0.0020029544830322266
458,0.0018510818481445312
459,0.0018010139465332031
460,0.0016679763793945312
461,0.0014529228210449219
462,0.0017130374908447266
463,0.0025920867919921875
464,0.0019850730895996094
465,0.001360177993774414
466,0.0017921924591064453
467,0.0014071464538574219
468,0.0018129348754882812
469,0.0016999244689941406
470,0.00109100341796875
471,0.0018239021301269531
472,0.0021851062774658203
473,0.0018880367279052734
474,0.0017490386962890625
475,0.0011138916015625
476,0.0018639564514160156
477,0.0015649795532226562
478,0.0013179779052734375
479,0.0021200180053710938
480,0.001989126205444336
481,0.0019419193267822266
482,0.002022981643676758
483,0.0020089149475097656
484,0.0011570453643798828
485,0.0019359588623046875
486,0.0014247894287109375
487,0.0014960765838623047
488,0.001432180404663086
489,0.001689910888671875
490,0.0020592212677001953
491,0.0026721954345703125
492,0.0021228790283203125
493,0.0017850399017333984
494,0.0012850761413574219
495,0.0015900135040283203
496,0.0016601085662841797
497,0.0014531612396240234
498,0.0022568702697753906
499,0.0016188621520996094
500,0.0020449161529541016
501,0.0015270709991455078
502,0.001961946487426758
503,0.0016360282897949219
504,0.0013430118560791016
505,0.0018239021301269531
506,0.0013699531555175781
507,0.0017910003662109375
508,0.0012750625610351562
509,0.0026090145111083984
510,0.002337932586669922
511,0.0017588138580322266
512,0.001135110855102539
513,0.0018398761749267578
514,0.001458883285522461
515,0.0010459423065185547
516,0.0018138885498046875
517,0.004511833190917969
518,0.0019669532775878906
519,0.0014538764953613281
520,0.0018680095672607422
521,0.0016629695892333984
522,0.0012440681457519531
523,0.0018680095672607422
524,0.002218961715698242
525,0.0010039806365966797
526,0.002593994140625
527,0.00177001953125
528,0.0014290809631347656
529,0.0020749568939208984
530,0.0010378360748291016
531,0.0017039775848388672
532,0.0012559890747070312
533,0.0014629364013671875
534,0.001775979995727539
535,0.0016360282897949219
536,0.0014882087707519531
537,0.0021431446075439453
538,0.0024378299713134766
539,0.0019271373748779297
540,0.0017521381378173828
541,0.0014159679412841797
542,0.0017349720001220703
543,0.0010991096496582031
544,0.0018720626831054688
545,0.0034029483795166016
546,0.0016260147094726562
547,0.0017101764678955078
548,0.0015380382537841797
549,0.0012791156768798828
550,0.0019969940185546875
551,0.0014410018920898438
552,0.0023670196533203125
553,0.0018758773803710938
554,0.0012249946594238281
555,0.001825094223022461
556,0.0018739700317382812
557,0.001425027847290039
558,0.002007007598876953
559,0.002485990524291992
560,0.0014100074768066406
561,0.0018351078033447266
562,0.0017549991607666016
563,0.002006053924560547
564,0.003055095672607422
565,0.0017209053039550781
566,0.0015139579772949219
567,0.0015261173248291016
568,0.0015690326690673828
569,0.002001047134399414
570,0.0019009113311767578
571,0.0022470951080322266
572,0.0013380050659179688
573,0.002485036849975586
574,0.0020961761474609375
575,0.0016469955444335938
576,0.001589059829711914
577,0.0037620067596435547
578,0.0018718242645263672
579,0.002318859100341797
580,0.0021169185638427734
581,0.0027420520782470703
582,0.0014271736145019531
583,0.002045154571533203
584,0.0015001296997070312
585,0.001455068588256836
586,0.0011529922485351562
587,0.0020248889923095703
588,0.0017631053924560547
589,0.0010569095611572266
590,0.0009169578552246094
591,0.0020999908447265625
592,0.0013949871063232422
593,0.0020279884338378906
594,0.0022399425506591797
595,0.0015950202941894531
596,0.002719879150390625
597,0.0011501312255859375
598,0.0021829605102539062
599,0.002714872360229492
600,0.0017709732055664062
601,0.0014638900756835938
602,0.0014569759368896484
603,0.0016150474548339844
604,0.0011701583862304688
605,0.0018711090087890625
606,0.0021991729736328125
607,0.0018808841705322266
608,0.0019440650939941406
609,0.0012350082397460938
610,0.0016870498657226562
611,0.001477956771850586
612,0.001569986343383789
613,0.0017499923706054688
614,0.0017480850219726562
615,0.0022308826446533203
616,0.0014348030090332031
617,0.0011930465698242188
618,0.0025129318237304688
619,0.0029621124267578125
620,0.0014638900756835938
621,0.0024919509887695312
